file                                   format  type  num_seqs  sum_len  min_len  avg_len  max_len
solution/SRR23803536.fastq             FASTQ   DNA      1,234  163,200       43    132.3      159
solution/SRR23803536.trimmed.fastq.gz  FASTQ   DNA      1,234  153,328       35    124.3      151
solution/SRR23803537.fastq             FASTQ   DNA        567   87,433       43    154.2      159
solution/SRR23803537.trimmed.fastq.gz  FASTQ   DNA        567   82,897       35    146.2      151
solution/SRR23803538.fastq             FASTQ   DNA         89   12,751       72    143.3      159
solution/SRR23803538.trimmed.fastq.gz  FASTQ   DNA         89   12,039       64    135.3      151
solution/SRR23803539.fastq             FASTQ   DNA         10    1,403      104    140.3      159
solution/SRR23803539.trimmed.fastq.gz  FASTQ   DNA         10    1,323       96    132.3      151
