Name	SRR24466374	SRR24466375	SRR24466376	SRR24466377	SRR24466378	SRR24466379	SRR24466380	SRR24466381	SRR24466382	SRR24466383	SRR24466384	SRR24466385	SRR24466386	SRR24466387	SRR24466388	SRR24466389	SRR24466390	SRR24466391
YDR402C	0.412202	0.545816	0.251536	0.498373	0.181113	0.892605	0.442212	0.620722	0.319078	0.530529	0.329365	0.339891	0.893078	0.142816	0.131966	0.83037	0.383856	0.248288
YDL085W	0.480253	0.753863	0.263195	0.42148	1.1462	0.646503	0.668455	0.491399	1.26079	0.553054	1.41359	0.461553	2.14642	0.506706	0.567128	1.17558	2.31967	0.769296
YER143W	6.5439	15.5401	6.17614	5.29853	7.66059	12.547	6.47278	14.5258	13	10.1973	21.7811	9.3875	20.0914	5.82773	9.97402	20.1586	20.9639	17.0764
YJL186W	27.9148	36.5514	24.1716	24.1286	12.491	28.8478	28.4163	26.5172	18.8461	38.1074	30.4734	32.7192	36.8191	8.18976	23.5943	24.1314	27.7936	29.0097
YDR052C	11.635	16.4405	10.8297	9.14312	7.06759	18.2955	12.2973	12.1788	8.98125	13.6045	12.7704	11.8608	14.3287	3.80878	11.1235	14.7808	12.8044	16.7286
YLR208W	42.9528	61.3838	37.759	43.0013	28.5881	65.901	46.921	52.8196	38.4604	68.0245	64.5879	50.7143	85.9381	19.9247	67.3927	79.786	56.5433	77.8096
YBR281C	4.49743	8.61034	3.96096	3.83951	3.55159	6.27702	4.38421	5.62438	4.34048	5.68761	5.98479	5.47018	7.69553	1.95914	6.1686	8.30922	5.18156	7.33434
YGL164C	14.2821	22.0558	11.6908	11.2401	15.9763	16.663	11.8994	15.2261	19.0971	15.753	21.3675	15.1747	18.854	9.8048	17.1277	15.5653	23.4377	18.9402
YGL023C	8.34951	11.4523	9.10005	6.02921	4.73901	13.4063	8.30077	8.54634	6.29357	11.3362	11.6229	8.71296	16.0319	2.48105	9.99313	14.9714	10.2128	13.8933
YLL024C	798.834	1488.92	698.4	702.795	382.677	1297.16	857.218	1142.22	461.513	1133.63	1380.03	945.127	1837.4	241.402	1091.02	1985.84	780.032	987.536
YIL103W	7.80045	5.10287	7.4073	6.90667	4.41572	7.55721	4.9395	4.02404	4.82058	5.70683	3.88935	5.52935	5.64711	4.15498	10.0332	6.26981	3.62187	9.12381
YPL218W	235.5	370.124	211.597	239.654	160.189	343.835	263.831	281.164	199.316	359.301	381.413	245.644	402.426	115.748	275.831	385.945	333	350.356
YMR030W	7.61088	10.1725	5.04546	6.15043	8.43545	8.02213	7.51583	10.8745	10.3062	11.0404	13.1515	7.29802	16.0072	4.97071	7.54347	14.0029	17.5636	12.2406
YNL029C	21.2899	21.9294	17.5511	16.7032	10.4117	21.714	18.5251	15.1731	9.87552	19.2336	14.6949	16.9507	18.4969	5.86405	12.9686	12.2684	14.4165	15.4594
YOL012C	83.549	128.645	101.172	124.291	57.9077	133.385	107.736	115.642	77.3254	189.883	166.285	111.519	227.189	41.9951	159.748	206.104	137.885	207.653
YGR174C	42.872	51.9458	28.6004	35.2003	60.9817	36.9122	45.529	53.2199	88.617	52.2213	81.3161	34.5405	93.9832	39.1286	42.688	76.0248	96.9363	71.2161
YNL153C	202.299	159.832	217.596	191.042	228.929	215.566	163.212	177.877	171.991	187.986	168.621	148.743	188.002	217.908	283.075	211.908	147.894	188.095
YGR099W	7.64267	8.72845	7.0494	7.20719	6.899	8.22198	6.71435	6.47863	6.75058	8.91138	7.71247	7.29388	10.5638	3.44077	8.67695	9.9589	7.82934	11.2617
YBR094W	7.16496	8.47781	5.63168	6.77292	6.28077	8.29352	6.83631	8.79748	8.79167	7.96685	6.98218	5.99971	8.15584	4.38477	8.3928	9.35189	7.19623	9.33065
YER138W-A	88.6291	68.0446	74.2818	83.8475	139.116	80.4705	86.7164	99.4533	46.1395	64.7932	30.139	85.9153	75.4769	77.0693	52.8987	37.3279	133.695	85.7692
YBR272C	10.256	16.0946	10.1142	8.67587	9.26564	14.7574	7.27773	11.8168	11.0161	13.7024	15.0097	11.5699	21.4895	5.17455	15.1924	18.1714	16.9486	18.1563
YPR116W	1.58229	9.1781	2.73575	1.89947	1.5564	7.54253	1.01317	2.23381	3.52849	1.82384	2.46073	2.61606	3.10545	0.472932	1.04105	2.63714	4.86312	3.16876
YDL208W	83.5019	100.987	101.922	92.1351	26.2529	146.138	68.9012	65.8045	33.8093	140.941	79.0386	98.66	98.1329	26.2641	132.455	114.845	66.9598	163.397
YDR261C-D	4.0675	13.387	5.87319	1.98902	2.30366	9.8302	2.12976	3.36121	1.75453	6.38962	8.42457	9.40705	8.95552	2.49869	5.27319	9.4047	8.2893	7.78871
YGL150C	7.48539	12.9037	7.09498	5.05555	5.01331	11.4746	5.34558	6.84509	8.01815	6.81868	7.74897	7.73721	8.53425	2.32989	7.48946	8.80508	8.88234	9.58269
YLR345W	22.8002	31.8872	12.1803	20.2057	23.7237	21.8952	20.7672	29.1917	40.0087	26.8539	41.1865	20.6639	47.0273	13.6449	22.8063	43.0531	50.0278	43.0956
YGL041C-B	3.93551	3.00043	4.42232	3.4039	4.84406	2.52278	4.73515	7.07737	5.61104	0.932544	2.13287	4.96646	1.72109	4.06676	0.573181	1.34989	3.31152	2.89551
YBR199W	98.3093	155.621	71.5272	81.729	60.6389	103.504	99.5069	122.372	83.5015	124.021	119.21	97.9625	151.838	34.9822	67.4434	97.2284	123.007	93.3911
YFL019C	0	0.187859	0.487894	0.311016	1.10277	1.54492	0.532203	0.880261	1.12792	0.638745	0.475795	1.26999	0.211284	0.265286	0.274298	1.17593	2.17419	0.705326
YMR273C	4.38462	7.5634	4.64391	3.56005	2.93804	6.79666	4.15647	4.48441	3.22674	5.28559	5.42527	4.90335	7.58423	1.51267	4.86805	6.12976	6.83696	7.75849
YOR350C	9.44995	23.5212	11.5618	7.96185	14.8435	18.7557	6.76926	13.4548	15.8578	10.3472	15.9747	13.8254	13.4848	8.65279	14.3042	12.0939	25.4965	15.4055
YBL071W-A	15.9453	17.3	15.5426	9.63691	6.01153	36.1244	13.289	18.1671	6.74573	13.1259	14.4619	18.2711	11.6539	3.20236	11.3604	18.0212	11.7394	21.089
YDR441C	11.5203	19.7474	14.0563	18.2192	7.9391	34.9617	15.7032	24.4877	14.1337	21.9434	22.5778	17.6806	25.3599	6.40787	19.8564	23.8061	22.4273	27.0278
YMR033W	18.7066	33.5967	18.0952	15.3285	17.1721	30.6553	15.9721	21.1935	20.4888	25.7353	27.0358	21.5553	29.3112	10.4133	21.8042	27.5862	32.6032	31.9433
YJL047C-A	6.12763	22.8971	17.1906	2.94039	3.74503	5.38532	3.37213	4.42285	7.45791	8.37324	8.25773	4.74794	3.66128	8.19428	6.11789	27.6261	12.4433	22.2333
YBR197C	8.62181	17.9556	13.4459	7.25002	5.53114	23.9552	9.55219	8.59619	5.09457	14.4573	19.1609	13.9852	20.2366	4.54957	18.5794	19.2078	13.9578	20.3096
YAR068W	1.5918	2.67736	1.5136	0.919764	0.516406	2.35894	0.946626	0.882177	1.25537	1.642	2.81688	1.58173	2.76963	0.562726	2.30188	3.89755	3.01909	4.94626
YER019W	7.07032	11.5316	9.47833	8.85237	5.9562	15.8861	11.7441	10.1202	7.69378	10.6865	12.7896	9.25186	16.7991	3.71256	10.5889	16.8986	10.4328	13.9183
YNL054W-A	0	0.453198	0.193497	0.14951	0.118136	0.351566	0.245217	0.074014	0.60809	0	0.338029	0.257499	0.381914	0	0.292868	0.248981	0.579801	0.175162
YOR368W	9.80756	14.8289	7.20558	9.22893	14.0529	12.6726	6.39691	11.2353	13.7078	10.0899	11.6606	8.81319	11.7076	7.8059	11.9477	11.9636	13.3476	13.6879
YBR183W	45.7619	69.5028	28.9964	46.6369	77.6934	59.8664	53.891	79.5107	114.288	50.5237	57.486	38.3823	85.8131	35.3001	47.5725	63.321	68.8495	51.8272
YBR280C	5.44452	7.27559	4.1743	4.16384	5.28368	5.92302	5.84465	6.82702	9.07183	7.54711	8.38359	5.38886	13.5941	3.18997	5.94242	11.0498	11.3269	10.8746
YGR266W	3.55352	4.51361	3.03914	2.80276	2.51485	3.61068	3.40091	3.45091	4.01222	5.43701	4.1314	3.68282	7.01106	1.34885	4.50811	7.40019	3.71109	8.64493
YGR083C	9.09039	15.7251	10.3206	7.08185	4.21577	17.7242	8.15451	9.24094	5.72607	10.6688	10.6635	11.2667	10.7879	3.78657	12.8754	13.0141	9.53889	15.4962
YDL004W	81.5948	123.998	79.0536	94.7906	75.8759	145.668	94.248	126.015	103.851	123.921	141.379	89.7038	187.538	64.3302	143.021	164.852	165.739	164.161
YOR355W	27.7392	37.057	26.5362	23.2263	12.5404	40.6712	24.808	25.9768	14.6244	35.0902	20.9621	24.489	26.8641	8.76796	30.2735	30.8165	19.5717	33.3379
YNR022C	57.9846	76.2	49.7626	46.164	54.8984	69.0172	44.2029	64.9501	57.1134	76.6471	92.5086	53.712	84.8101	48.3637	80.672	79.0339	94.6477	73.9527
YBR181C	536.245	617.333	608.943	442.191	236.003	612.582	415.531	388.327	286.04	617.49	503.881	639.841	547.522	198.349	664.824	588.983	378.558	699.533
YJR005W	12.1598	25.7875	13.5687	10.1217	12.4706	26.1259	11.0939	19.5554	17.2104	13.8759	20.5911	15.3638	19.1616	7.92635	14.587	18.4045	23.8985	18.926
YBR278W	67.0402	48.7143	53.8976	61.2057	100.398	62.4019	52.1031	57.9155	80.7785	54.1791	52.8577	40.7623	53.977	50.1808	69.0972	57.4716	54.0327	51.5797
YLR137W	12.8393	14.0277	9.40512	11.0805	6.79914	14.1763	11.1285	9.46371	6.6238	14.3481	14.1672	10.0902	21.3039	4.20789	10.0464	20.4543	11.8193	17.8183
YDL176W	7.08354	11.5505	7.01351	5.65103	8.01126	13.0775	5.21887	8.98667	8.11344	7.4975	7.53656	7.90473	9.31686	4.83433	10.0061	8.13338	8.84093	9.53982
YNR030W	27.9757	37.698	18.3367	22.4433	11.6046	26.3012	28.9683	25.7122	13.3978	36.5811	27.2416	25.5187	34.6243	6.92232	15.4006	22.0638	25.758	21.9758
YGL249W	0.589551	1.10284	0.565156	0.515512	1.0838	1.01291	0.418038	0.817871	0.837731	0.773107	0.978452	0.681654	0.946523	0.548026	0.465052	0.801967	1.33746	0.646571
YDR365W-B	96.674	180.25	115.326	57.5752	76.1663	156.718	54.3511	84.8047	67.3174	96.6941	136.686	143.376	100.607	72.6058	164.241	123.632	142.509	103.995
YIL127C	21.0038	21.1129	28.6424	18.1394	6.4039	26.2906	13.95	13.2764	10.6597	26.5445	15.9282	24.4674	19.5476	5.4993	35.4494	20.6421	9.9578	37.545
YDL142C	20.7165	27.8579	16.4945	15.0591	20.0204	24.6148	18.8567	23.3926	23.0832	23.2087	26.7112	19.4706	31.6767	12.3314	21.7543	25.8231	25.7675	28.2898
YBR169C	52.7633	106.666	32.0764	51.4413	50.56	79.4369	69.2848	98.6838	70.618	72.7104	99.7193	43.8552	156.58	24.0247	63.2664	152.457	68.0601	52.043
YKR011C	20.3057	29.6512	12.9759	20.9271	26.9289	22.1938	20.5194	29.068	35.0234	20.6902	31.8356	18.1671	40.3414	16.5746	24.0161	47.0931	39.7312	35.0112
YBR059C	11.0203	17.4295	8.77867	7.71032	8.1339	14.7583	10.4564	13.0089	11.4819	12.2588	14.3929	11.3853	14.7159	3.78685	9.76449	14.4958	16.1443	12.5779
YDR454C	161.876	239.088	178.461	184.18	74.9795	259.396	164.027	184.544	100.091	316.816	250.683	216.99	336.159	67.0209	277.217	291.474	201.956	347.279
YNL239W	27.751	43.6862	27.2908	23.9203	16.8072	48.4765	23.08	31.6594	20.5481	47.9463	57.5658	37.0256	69.1201	15.6059	43.1252	66.0603	48.5467	67.0947
YBR086C	79.5119	105.056	67.2561	61.7504	33.196	76.7708	96.2597	92.7019	47.7136	83.0852	55.5362	77.2196	76.7327	17.9221	41.8518	42.925	67.4837	50.3703
YDR153C	12.4158	18.6177	8.28567	10.6538	5.13315	16.7739	11.0609	11.7593	10.4374	16.5363	16.4271	10.4166	18.7838	4.4399	11.9762	21.1116	14.1732	21.5744
YBL018C	592.269	525.838	766.34	588.737	591.923	648.533	522.402	512.868	449.533	426.633	395.427	638.692	338.996	384.2	378.142	227.122	410.666	407.126
YER023W	68.4333	96.1189	66.3701	71.5403	39.8358	100.745	83.3886	81.1803	51.6157	124.754	127.348	82.5407	155.138	32.202	101.24	154.115	95.7111	128.919
YBR164C	291.236	208.293	260.176	266.571	342.361	190.281	252.405	233.037	301.425	227.769	188.369	231.478	195.972	289.176	252.972	209.893	221.78	189.322
YGR194C	12.6261	17.1228	7.66752	11.3152	11.0712	11.5658	13.193	12.8585	17.6486	18.6527	21.6558	13.0074	30.8136	5.71736	15.1489	31.929	21.4169	29.7999
YGL106W	157.455	216.537	174.566	165.574	113.158	237.457	167.402	158.703	127.334	245.897	303.3	188.932	310.86	100.641	219.404	288.854	250.309	278.234
YBR293W	10.6399	18.768	13.0524	8.39941	8.71548	24.6233	9.21417	14.7598	10.2708	12.5408	16.6806	12.3929	17.1096	5.95673	11.891	12.4714	18.6783	15.3368
YPL108W	7.12589	8.34159	8.60064	9.9291	5.35999	14.2097	6.81494	7.54792	5.1552	10.0808	9.77763	7.94088	9.11274	5.14377	12.2733	11.3635	6.30416	12.5538
YBL067C	6.99847	12.1737	6.2934	5.24695	6.00475	11.5554	6.20868	8.97097	10.2194	6.7814	7.58292	7.50183	8.62738	4.31964	8.39706	8.65253	10.5999	9.74715
YDL130W	832.169	1192.75	1297.88	1015.13	290.762	1599.48	1104.17	903.481	473.09	1714.89	1395.46	1301.52	1683.35	375.647	1824.27	1918.35	897.801	2072.11
YGR280C	12.6918	18.1289	19.848	13.3103	6.78948	25.6097	11.3999	12.5403	13.5755	20.3655	18.2759	24.5526	26.9281	5.18123	33.0449	26.2421	14.6986	44.1169
YOL103W-A	0	0	0	0	0	0	0	0	0	0	0	0	0.398598	0	0	0	0	0.307709
YBR163W	12.4484	21.1635	13.2349	10.2075	9.10623	19.7948	11.6611	11.7002	8.31669	13.8856	12.9439	14.3776	13.7171	5.40864	11.2935	11.7204	17.4173	15.9292
YBR158W	44.1726	67.923	42.2828	32.4376	27.5304	59.4399	29.2269	38.9489	28.2812	53.3687	55.7292	49.3449	45.4483	22.8994	48.2459	41.1901	66.7747	61.2533
